sysTime,driveMode,gyroYaw,leftEncoder,rightEncoder,leftEncoderVel,rightEncoderVel,leftMotorPercent,rightMotorPercent,leftMotorVoltage,rightMotorVoltage,leftMotorCurrent,rightMotorCurrent,driveStick,turnStick,leftPathPos,leftPathVel,leftPathAcc,rightPathPos,rightPathVel,rightPathAcc,pathHdg,pathStep0,pathStep1,leftBusVoltage,rightBusVoltage,leftTemp,rightTemp,leftHasResetOccurred,rightHasResetOccurred,leftIsSafetyEnabled,rightIsSafetyEnabled
504919321,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
516593623,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
547046063,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
551893217,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
559000061,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
572190083,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
587261634,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
601276965,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
612104589,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
620581215,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
632189131,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
639437872,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
651463690,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
656665387,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
671580538,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
676634392,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
686410148,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
695099420,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
713432276,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
727748492,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
734751267,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
742855764,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
753658779,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
761124711,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
771058233,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
779721820,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
792583246,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
799548883,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
811756477,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
817145326,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
829946039,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
836771618,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
848953532,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
855284807,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
